,disease,inform_slots
1,Cat scratch disease,"['groin mass', 'fever', 'skin swelling', 'swollen eye','arm lump or mass', 'skin lesion']"
3,Cat scratch disease,"['arm lump or mass', 'groin mass', 'arm swelling', 'loss of sensation', 'neck swelling','skin swelling', 'fever']"
4,Cat scratch disease,"['skin rash', 'arm lump or mass', 'arm swelling', 'groin mass','fever', 'neck swelling']"
5,Cat scratch disease,"['fever', 'neck swelling', 'loss of sensation', 'arm lump or mass', 'swollen eye', 'skin rash','arm swelling', 'groin mass']"
6,Cat scratch disease,"['skin lesion', 'groin mass', 'skin rash', 'fever', 'neck swelling', 'arm swelling','skin swelling', 'loss of sensation']"
7,Cat scratch disease,"['neck swelling', 'loss of sensation', 'arm lump or mass', 'skin lesion', 'arm swelling', 'fever','groin mass', 'swollen eye']"
8,Cat scratch disease,"['swollen eye', 'neck swelling', 'skin swelling', 'headache', 'itchy eyelid', 'arm lump or mass','loss of sensation', 'arm swelling']"
9,Cat scratch disease,"['neck swelling', 'headache', 'arm swelling', 'arm lump or mass', 'groin mass','itchy eyelid', 'swollen eye']"
11,Cat scratch disease,"['arm lump or mass', 'itchy eyelid', 'swollen eye', 'headache','loss of sensation', 'neck swelling']"
12,Cat scratch disease,"['swollen eye', 'arm swelling', 'skin lesion', 'loss of sensation', 'skin rash','neck swelling', 'skin swelling']"
14,Cat scratch disease,"['skin swelling', 'loss of sensation', 'arm lump or mass', 'neck swelling', 'skin lesion', 'skin rash','headache', 'arm swelling']"
16,Dengue fever,"['fever', 'knee lump or mass', 'sore throat', 'facial pain','pain in eye', 'joint stiffness or tightness']"
17,Dengue fever,"['pain in eye', 'fever', 'joint stiffness or tightness', 'wrist pain', 'shoulder cramps or spasms','sore throat', 'knee lump or mass']"
18,Dengue fever,"['wrist pain', 'pain in eye', 'ankle pain', 'fever','knee lump or mass', 'sore throat']"
19,Dengue fever,"['facial pain', 'sore throat', 'ankle pain', 'pain in eye', 'knee lump or mass', 'wrist pain','pain during pregnancy', 'fever']"
20,Dengue fever,"['ankle pain', 'joint stiffness or tightness', 'pain during pregnancy', 'excessive anger', 'sore throat', 'wrist pain','fever', 'shoulder cramps or spasms']"
21,Dengue fever,"['sore throat', 'ankle pain', 'facial pain', 'pain during pregnancy', 'excessive anger', 'pain or soreness of breast','fever', 'knee lump or mass']"
22,Dengue fever,"['knee lump or mass', 'sore throat', 'fever', 'excessive anger', 'facial pain', 'pain in eye','shoulder cramps or spasms', 'pain during pregnancy']"
23,Dengue fever,"['sore throat', 'excessive anger', 'pain during pregnancy', 'pain in eye', 'fever','facial pain', 'knee lump or mass']"
25,Dengue fever,"['pain in eye', 'facial pain', 'knee lump or mass', 'excessive anger','shoulder cramps or spasms', 'sore throat']"
26,Dengue fever,"['facial pain', 'wrist pain', 'joint stiffness or tightness', 'pain during pregnancy', 'ankle pain','sore throat', 'fever']"
27,Dengue fever,"['sore throat', 'wrist pain', 'pain in eye', 'fever', 'joint stiffness or tightness', 'pain during pregnancy','ankle pain', 'excessive anger']"
28,Gas gangrene,"['excessive anger', 'knee lump or mass', 'sharp abdominal pain', 'pain in eye','fatigue', 'joint stiffness or tightness']"
29,Gas gangrene,"['fatigue', 'shoulder cramps or spasms', 'facial pain', 'wrist pain', 'excessive anger','sharp abdominal pain', 'knee lump or mass']"
30,Gas gangrene,"['excessive anger', 'fatigue', 'wrist pain', 'ankle pain','knee lump or mass', 'sharp abdominal pain']"
31,Gas gangrene,"['pain in eye', 'sharp abdominal pain', 'wrist pain', 'fatigue', 'knee lump or mass', 'pain during pregnancy','facial pain', 'excessive anger']"
32,Gas gangrene,"['wrist pain', 'shoulder cramps or spasms', 'facial pain', 'pain or soreness of breast', 'sharp abdominal pain', 'pain during pregnancy','excessive anger', 'ankle pain']"
33,Gas gangrene,"['sharp abdominal pain', 'wrist pain', 'pain in eye', 'pain during pregnancy', 'joint stiffness or tightness', 'pain or soreness of breast','excessive anger', 'knee lump or mass']"
34,Gas gangrene,"['pain in eye', 'sharp abdominal pain', 'excessive anger', 'pain or soreness of breast', 'knee lump or mass', 'fatigue','ankle pain', 'pain during pregnancy']"
35,Gas gangrene,"['sharp abdominal pain', 'pain or soreness of breast', 'pain during pregnancy', 'fatigue', 'excessive anger','knee lump or mass', 'pain in eye']"
37,Gas gangrene,"['fatigue', 'knee lump or mass', 'pain in eye', 'pain or soreness of breast','ankle pain', 'sharp abdominal pain']"
38,Gas gangrene,"['pain in eye', 'pain during pregnancy', 'facial pain', 'wrist pain', 'ankle pain','sharp abdominal pain', 'shoulder cramps or spasms']"
40,Gas gangrene,"['sharp abdominal pain', 'pain during pregnancy', 'fatigue', 'shoulder cramps or spasms', 'joint stiffness or tightness', 'wrist pain','ankle pain', 'facial pain']"
41,Chickenpox,"['fever', 'pain in testicles', 'skin rash', 'irritable infant','eye redness', 'cough']"
42,Chickenpox,"['irritable infant', 'fever', 'cough', 'itching of skin', 'abnormal appearing skin','skin rash', 'pain in testicles']"
43,Chickenpox,"['fever', 'irritable infant', 'abnormal appearing skin', 'itching of skin','skin swelling', 'skin rash']"
44,Chickenpox,"['problems during pregnancy', 'skin rash', 'itching of skin', 'irritable infant', 'skin swelling', 'abnormal appearing skin','ache all over', 'fever']"
45,Chickenpox,"['fever', 'skin swelling', 'cough', 'skin lesion', 'skin rash', 'itching of skin','ache all over', 'abnormal appearing skin']"
46,Chickenpox,"['skin rash', 'abnormal appearing skin', 'problems during pregnancy', 'itching of skin', 'skin swelling', 'skin lesion','fever', 'pain in testicles']"
47,Chickenpox,"['pain in testicles', 'skin rash', 'fever', 'skin lesion', 'irritable infant', 'eye redness','abnormal appearing skin', 'cough']"
49,Chickenpox,"['skin rash', 'cough', 'ache all over', 'eye redness', 'fever','irritable infant', 'skin swelling']"
50,Chickenpox,"['eye redness', 'irritable infant', 'pain in testicles', 'skin lesion','abnormal appearing skin', 'skin rash']"
51,Chickenpox,"['problems during pregnancy', 'itching of skin', 'skin lesion', 'cough', 'abnormal appearing skin','skin rash', 'fever']"
52,Chickenpox,"['skin rash', 'itching of skin', 'irritable infant', 'fever', 'cough', 'ache all over','abnormal appearing skin', 'skin lesion']"
53,Granuloma inguinale,"['sharp chest pain', 'excessive growth', 'nausea', 'shoulder swelling','neck cramps or spasms', 'vaginal pain']"
54,Granuloma inguinale,"['neck cramps or spasms', 'sharp chest pain', 'vaginal pain', 'groin pain', 'vulvar sore','nausea', 'excessive growth']"
55,Granuloma inguinale,"['vaginal pain', 'shoulder swelling', 'groin pain', 'sharp chest pain','excessive growth', 'nausea']"
56,Granuloma inguinale,"['wrist weakness', 'nausea', 'groin pain', 'shoulder swelling', 'nailbiting', 'sharp chest pain','vaginal pain', 'loss of sex drive']"
57,Granuloma inguinale,"['sharp chest pain', 'vulvar sore', 'loss of sex drive', 'nailbiting', 'nausea', 'vaginal pain','knee lump or mass', 'groin pain']"
58,Granuloma inguinale,"['vulvar sore', 'groin pain', 'shoulder swelling', 'sharp chest pain', 'excessive growth', 'vaginal pain','nausea', 'neck cramps or spasms']"
59,Granuloma inguinale,"['excessive growth', 'nausea', 'sharp chest pain', 'vulvar sore', 'shoulder swelling', 'neck cramps or spasms','groin pain', 'vaginal pain']"
60,Granuloma inguinale,"['nausea', 'vaginal pain', 'groin pain', 'neck cramps or spasms', 'sharp chest pain','shoulder swelling', 'knee lump or mass']"
61,Granuloma inguinale,"['neck cramps or spasms', 'shoulder swelling', 'excessive growth', 'vulvar sore','groin pain', 'nausea']"
62,Granuloma inguinale,"['shoulder swelling', 'groin pain', 'knee lump or mass', 'loss of sex drive', 'vaginal pain','nausea', 'sharp chest pain']"
64,Granuloma inguinale,"['nausea', 'groin pain', 'neck cramps or spasms', 'sharp chest pain', 'vaginal pain', 'knee lump or mass','loss of sex drive', 'nailbiting']"
65,Chagas disease,"['facial pain', 'knee lump or mass', 'shoulder cramps or spasms', 'fatigue','excessive urination at night', 'joint stiffness or tightness']"
66,Chagas disease,"['excessive urination at night', 'facial pain', 'excessive anger', 'wrist pain', 'pain in eye','shoulder cramps or spasms', 'knee lump or mass']"
67,Chagas disease,"['facial pain', 'excessive urination at night', 'pain during pregnancy', 'ankle pain','knee lump or mass', 'pain in eye']"
68,Chagas disease,"['fatigue', 'pain in eye', 'pain during pregnancy', 'excessive urination at night', 'knee lump or mass', 'wrist pain','excessive anger', 'facial pain']"
69,Chagas disease,"['pain during pregnancy', 'shoulder cramps or spasms', 'joint stiffness or tightness', 'knee lump or mass', 'pain in eye', 'excessive anger','facial pain', 'wrist pain']"
70,Chagas disease,"['pain in eye', 'pain during pregnancy', 'excessive urination at night', 'excessive anger', 'joint stiffness or tightness', 'knee lump or mass','ankle pain', 'fatigue']"
71,Chagas disease,"['fatigue', 'pain in eye', 'facial pain', 'pain or soreness of breast', 'knee lump or mass', 'excessive urination at night','wrist pain', 'pain during pregnancy']"
72,Chagas disease,"['pain in eye', 'pain or soreness of breast', 'pain during pregnancy', 'excessive urination at night', 'facial pain','knee lump or mass', 'fatigue']"
73,Chagas disease,"['excessive urination at night', 'knee lump or mass', 'fatigue', 'pain or soreness of breast','wrist pain', 'pain in eye']"
74,Chagas disease,"['fatigue', 'excessive anger', 'pain during pregnancy', 'wrist pain', 'ankle pain','shoulder cramps or spasms', 'pain in eye']"
75,Chagas disease,"['shoulder cramps or spasms', 'pain during pregnancy', 'excessive urination at night', 'pain in eye', 'joint stiffness or tightness', 'wrist pain','ankle pain', 'excessive anger']"
77,Chancroid,"['facial pain', 'knee lump or mass', 'shoulder cramps or spasms', 'fatigue','excessive urination at night', 'joint stiffness or tightness']"
78,Chancroid,"['excessive urination at night', 'facial pain', 'excessive anger', 'wrist pain', 'pain in eye','shoulder cramps or spasms', 'knee lump or mass']"
81,Chancroid,"['facial pain', 'excessive urination at night', 'pain during pregnancy', 'ankle pain','knee lump or mass', 'pain in eye']"
82,Chancroid,"['fatigue', 'pain in eye', 'pain during pregnancy', 'excessive urination at night', 'knee lump or mass', 'wrist pain','excessive anger', 'facial pain']"
83,Chancroid,"['pain during pregnancy', 'shoulder cramps or spasms', 'joint stiffness or tightness', 'knee lump or mass', 'pain in eye', 'excessive anger','facial pain', 'wrist pain']"
